Source,Title,Published,Description,Sentiment,Decision
bloomberg,France fines Apple €150 million over iOS data tracking consent,2025-03-31T08:43:25Z,"France fines Apple €150 million for antitrust violations related to data collection, impacting advertisers and violating GDPR rules.",-0.178,SELL
abc-news,Stock markets slide deeper amid Trump tariffs fallout,2025-04-04T06:44:16Z,Key foreign stock markets continued their slide after opening on Friday morning amid the shockwaves of President Donald Trump’s “Liberation Day” tariffs.,0.0,HOLD
abc-news,France's antitrust watchdog fines Apple for problems with App Tracking Transparency,2025-03-31T11:18:17Z,France’s antitrust watchdog fined Apple 150 million euros ($162 million) on Monday over a privacy feature that protects users from apps snooping on them because its introduction resulted in abuse of competition law,-0.417,SELL
abc-news,Why no one is challenging Trump's executive order that keeps TikTok running,2025-04-02T11:44:35Z,"President Donald Trump’s executive orders have spurred more than 130 lawsuits, but one related to TikTok barely generates a peep",-0.136,SELL
abc-news,Microsoft founder Bill Gates reflects upon a 50-year-old computer code that reshaped technology,2025-04-03T05:02:19Z,"Even as he grows older, Microsoft founder Bill Gates still fondly remembers the catalytic computer code he wrote 50 years ago that opened up a new frontier in technology",0.176,HOLD
abc-news,"Bodega cats make New Yorkers' hearts purr, even if they violate state regulations",2025-04-03T04:30:29Z,Bodega cats in New York City are widely loved feline workers in the Big Apple's convenience stores,0.404,BUY
abc-news,Statham’s 'A Working Man’ takes No. 1 at the box office,2025-03-30T17:09:56Z,"In an unexpected upset, the Jason Statham thriller “A Working Man” has taken the No_ 1 spot at the box office, besting the rapidly declining performance of “Snow White.”",-0.118,SELL
abc-news,Hong Kong painter draws inspiration from city's recent history in works at Art Basel,2025-03-28T02:46:32Z,"At Hong Kong’s Art Basel, painter Chow Chun-fai’s new works transport viewers back to the night in 1997 when the former British colony returned to Chinese rule, displayed in the very exhibition center where one era ended and another began",0.316,BUY
abc-news,"Kendrick Lamar, Gracie Abrams and Zoe Saldaña earn Webby Award nominations, along with Nutter Butter",2025-04-01T12:54:26Z,"Kendrick Lamar, Gracie Abrams, Zoe Saldaña and Nutter Butter are among the nominees for this year’s Webby Awards, recognizing the best internet content and creators",0.646,BUY
abc-news,"Asian shares are sharply lower, Tokyo tumbles 4%, after Wall Street retreat",2025-03-31T05:34:29Z,"Asian shares are sharply lower, with Tokyo's benchmark falling more than 4%, after another wipeout slammed Wall Street",0.06,HOLD
wired,"Verizon’s Price Lock, a New Rolex, and Withings’ Blood Pressure Tech—Your Gear News of the Week",2025-04-05T10:00:00Z,"Plus: Samsung debuts its Galaxy Tab S10 FE tablets, Ooni has bigger gas-powered pizza ovens, and Traeger solves a griddle riddle.",-0.068,HOLD
wired,Nomad Sale: 5 Great Deals on Our Favorite Accessories,2025-04-01T16:05:01Z,"From Apple accessories to wireless chargers, some of our favorite Nomad gear is 15 percent off right now.",0.661,BUY
